Metric,Unit,Value type
GpuX_boar,_,int
GpuX_ecc_dbe_volatile_total Total double bit volatile ECC errors d_limit_violation,_,int
GpuX_current_clock_throttle_reasons,_,int
GpuX_ecc_dbe_aggregate_total,_,int
GpuX_ecc_dbe_volatile_total,_,int
GpuX_ecc_sbe_aggregate_total,_,int
GpuX_ecc_sbe_volatile_total,_,int
GpuX_fb_free,mb,int
GpuX_fb_total,mb,int
GpuX_fb_used,mb,int
GpuX_gpu_temp,celsius,int
GpuX_gpu_util_samples,_,int
GpuX_gpu_utilization,%,int
GpuX_low_util_violation,_,int
GpuX_mem_app_clock,_,int
GpuX_mem_copy_utilization,%,int
GpuX_memory_clock,megahertz,int
GpuX_memory_temp,celsius,int
GpuX_nvlink_bandwidth_total,_,int
GpuX_nvlink_data_crc_error_count_total,_,int
GpuX_nvlink_flit_crc_error_count_total,_,int
GpuX_nvlink_recovery_error_count_total,_,int
GpuX_nvlink_replay_error_count_total,_,int
GpuX_power_management_limit,watts,int
GpuX_power_usage,watts,float
GpuX_power_violation,usec,int
GpuX_pstate,_,int
GpuX_reliability_violation,_,int
GpuX_retired_pages_dbe,_,int
GpuX_retired_pages_pending,_,int
GpuX_retired_pages_sbe,_,int
GpuX_sm_app_clock,_,int
GpuX_sm_clock,megahertz,int
GpuX_sync_boost_violation,usec,int
GpuX_thermal_violation,usec,"int, float (Gpu0)"
GpuX_total_energy_consumption,mj,float
GpuX_xid_errors,_,int
boottime,s,float
bytes_in,bytes/sec,float
bytes_out,bytes/sec,float
cpu_aidle,%,float
cpu_idle,%,float
cpu_nice,%,float
cpu_num,cpus,int
cpu_speed,mhz,int
cpu_steal,%,int
cpu_system,%,float
cpu_user,%,float
cpu_wio,%,float
disk_free,gb,float
disk_total,gb,float
gexec,_,string
load_fifteen,_,float
load_five,_,float
load_one,_,float
machine_type,_,string
mem_buffers,kb,int
mem_cached,kb,float
mem_free,kb,float
mem_shared,kb,int
mem_total,kb,float
os_name,_,string
os_release,_,string
part_max_used,%,float
pkts_in,packets/sec,float
pkts_out,packets/sec,float
proc_run,_,int
proc_total,_,int
swap_free,kb,int
swap_total,kb,int
