Metric,Unit,type,Value type
ambient,°C,temp,float
dimm0_temp,°C,temp,int
dimm1_temp,°C,temp,int
dimm2_temp,°C,temp,int
dimm3_temp,°C,temp,int
dimm4_temp,°C,temp,int
dimm5_temp,°C,temp,int
dimm6_temp,°C,temp,int
dimm7_temp,°C,temp,int
dimm8_temp,°C,temp,int
dimm9_temp,°C,temp,int
dimm10_temp,°C,temp,int
dimm11_temp,°C,temp,int
dimm12_temp,°C,temp,int
dimm13_temp,°C,temp,int
dimm14_temp,°C,temp,int
dimm15_temp,°C,temp,int
fan0_0,RPM,speed,int
fan1_0,RPM,speed,int
fan2_0,RPM,speed,int
fan3_0,RPM,speed,int
fan0_1,RPM,speed,int
fan1_1,RPM,speed,int
fan2_1,RPM,speed,int
fan3_1,RPM,speed,int
fan_disk_power,W,power,int
gpu0_core_temp,°C,temp,int
gpu1_core_temp,°C,temp,int
gpu3_core_temp,°C,temp,int
gpu4_core_temp,°C,temp,int
gpu0_mem_temp,°C,temp,int
gpu1_mem_temp,°C,temp,int
gpu3_mem_temp,°C,temp,int
gpu4_mem_temp,°C,temp,int
gv100card0,undefined,undefined,int
gv100card1,undefined,undefined,int
gv100card4,undefined,undefined,int
gv100card3,undefined,undefined,int
p0_core0_temp,°C,temp,int
p0_core1_temp,°C,temp,int
p0_core2_temp,°C,temp,int
p0_core3_temp,°C,temp,int
p0_core4_temp,°C,temp,int
p0_core5_temp,°C,temp,int
p0_core6_temp,°C,temp,int
p0_core7_temp,°C,temp,int
p0_core8_temp,°C,temp,int
p0_core9_temp,°C,temp,int
p0_core10_temp,°C,temp,int
p0_core11_temp,°C,temp,int
p0_core12_temp,°C,temp,int
p0_core13_temp,°C,temp,int
p0_core14_temp,°C,temp,int
p0_core15_temp,°C,temp,int
p0_core16_temp,°C,temp,int
p0_core17_temp,°C,temp,int
p0_core18_temp,°C,temp,int
p0_core19_temp,°C,temp,int
p0_core20_temp,°C,temp,int
p0_core21_temp,°C,temp,int
p0_core22_temp,°C,temp,int
p0_core23_temp,°C,temp,int
p1_core0_temp,°C,temp,int
p1_core1_temp,°C,temp,int
p1_core2_temp,°C,temp,int
p1_core3_temp,°C,temp,int
p1_core4_temp,°C,temp,int
p1_core5_temp,°C,temp,int
p1_core6_temp,°C,temp,int
p1_core7_temp,°C,temp,int
p1_core8_temp,°C,temp,int
p1_core9_temp,°C,temp,int
p1_core10_temp,°C,temp,int
p1_core11_temp,°C,temp,int
p1_core12_temp,°C,temp,int
p1_core13_temp,°C,temp,int
p1_core14_temp,°C,temp,int
p1_core15_temp,°C,temp,int
p1_core16_temp,°C,temp,int
p1_core17_temp,°C,temp,int
p1_core18_temp,°C,temp,int
p1_core19_temp,°C,temp,int
p1_core20_temp,°C,temp,int
p1_core21_temp,°C,temp,int
p1_core22_temp,°C,temp,int
p1_core23_temp,°C,temp,int
p0_io_power,W,power,int
p1_io_power,W,power,int
p0_mem_power,W,power,int
p1_mem_power,W,power,int
p0_power,W,power,int
p1_power,W,power,int
p0_vdd_temp,°C,temp,int
p1_vdd_temp,°C,temp,int
pcie,°C,temp,float
ps0_input_power,W,power,int
ps1_input_power,W,power,int
ps0_input_voltag,V,voltage,int
ps1_input_voltag,V,voltage,int
ps0_output_curre,A,current,int
ps1_output_curre,A,current,int
ps0_output_volta,V,voltage,float
ps1_output_volta,V,voltage,float
total_power,W,power,int
