Column,Type
accrue_time,timestamp
alloc_node,string
alloc_sid,int
array_job_id,int
array_max_tasks,int
array_task_id,int
array_task_str,string
array_task_throttle,int
assoc_id,int
batch_flag,int
batch_host,string
billable_tres,int
bitflags,int
boards_per_node,int
contiguous,bool
cores_per_socket,int
cpus_alloc_layout,string
cpus_allocated,string
cpus_per_task,int
cpus_per_tres,string
dependency,string
derived_ec,string
eligible_time,timestamp
end_time,timestamp
exc_nodes,string
exit_code,string
features,string
group_id,int
job_id,int
job_state,string
last_sched_eval,timestamp
max_cpus,int
max_nodes,int
mem_per_cpu,bool
mem_per_node,bool
metric,string
min_memory_cpu,int
min_memory_node,int
nice,int
nodes,string
ntasks_per_board,int
ntasks_per_core,int
ntasks_per_core_str,string
ntasks_per_node,int
ntasks_per_socket,int
ntasks_per_socket_str,string
num_cpus,int
num_nodes,int
num_tasks,int
partition,string
plugin,string
pn_min_cpus,int
pn_min_memory,int
pn_min_tmp_disk,int
power_flags,int
priority,int
profile,int
qos,string
reboot,int
req_nodes,string
req_switch,int
requeue,bool
resize_time,timestamp
restart_cnt,int
resv_name,string
run_time,int
run_time_str,string
sched_nodes,string
shared,string
show_flags,int
sockets_per_board,int
sockets_per_node,int
start_time,timestamp
state_reason,string
submit_time,timestamp
suspend_time,timestamp
threads_per_core,int
time_limit,int
time_limit_str,string
time_min,int
tres_alloc_str,string
tres_bind,string
tres_freq,string
tres_per_job,string
tres_per_node,string
tres_per_socket,string
tres_per_task,string
tres_req_str,string
user_id,int
wait4switch,int
wckey,string
year_month,string
