Metric,Unit,Value type
Bad_values,_,int
Comlost,_,float
Corrente,A,float
Corrente_L1,A,float
Corrente_L2,A,float
Corrente_L3,A,float
Dcie,_,float
Energia,kWh,float
Fattore_di_potenza,COS,float
Frequenza,Hz,float
Gateway,_,string
ID_Modbus,_,int
Mvar,MVAR,float
Mvarh,MVARh,float
Mw,MW,float
Mwh,MWh,float
Potenza,kW,float
Potenza_attiva,kW,float
Prototype,_,string
Pue,_,float
Stato,_,int
Status,_,int
Tensione,V,int
Tot,kW,float
Tot_cdz,kW,float
Tot_chiller,kW,float
Tot_ict,kW,float
Tot_qpompe,kW,float
Tot_servizi,kW,float
Volt1,V,int
Volt2,V,float
Volt3,V,int
address,_,string
deviceid,_,int
pit,W,int
pt,W,int
pue,_,float
