Metric,Unit,Value type
Alm_TY141,pure number,int
PLC_PLC_Q101.Abilita_inverter,pure number,int
PLC_PLC_Q101.Abilita_valvola1,pure number,int
PLC_PLC_Q101.Abilita_valvola2,pure number,int
PLC_PLC_Q101.Allarme_on,pure number,int
PLC_PLC_Q101.Allarme_presente,,int
PLC_PLC_Q101.Alm_inverter_p101,,int
PLC_PLC_Q101.Alm_inverter_p102,,int
PLC_PLC_Q101.Alm_inverter_p103,,int
PLC_PLC_Q101.Alm_inverter_p104,,int
PLC_PLC_Q101.Alm_max_portata,,int
PLC_PLC_Q101.Alm_max_t_mandata,,int
PLC_PLC_Q101.Alm_max_t_ritorno,,int
PLC_PLC_Q101.Alm_min_portata,,int
PLC_PLC_Q101.Alm_min_t_mandata,,int
PLC_PLC_Q101.Alm_nostart_p101,,int
PLC_PLC_Q101.Alm_nostart_p102,,int
PLC_PLC_Q101.Alm_nostart_p103,,int
PLC_PLC_Q101.Alm_nostart_p104,,int
PLC_PLC_Q101.Alm_w1,,int
PLC_PLC_Q101.Cmd_valvola_1,,int
PLC_PLC_Q101.Cmd_valvola_2,,int
PLC_PLC_Q101.Delta_temp,°C (x10),int
PLC_PLC_Q101.Diff_minuti_cavedio,minutes,int
PLC_PLC_Q101.Diff_minuti_quadro,minutes,int
PLC_PLC_Q101.Diff_minuti_sala,minutes,int
PLC_PLC_Q101.In_marcia_p101,,int
PLC_PLC_Q101.In_marcia_p102,,int
PLC_PLC_Q101.In_marcia_p103,,int
PLC_PLC_Q101.In_marcia_p104,,int
PLC_PLC_Q101.Kp_pid_pompe,,int
PLC_PLC_Q101.Kp_pid_valvole,,int
PLC_PLC_Q101.Manuale_p101,,int
PLC_PLC_Q101.Manuale_p102,,int
PLC_PLC_Q101.Manuale_p103,,int
PLC_PLC_Q101.Manuale_p104,,int
PLC_PLC_Q101.Manuale_ty141,,int
PLC_PLC_Q101.Manuale_ty142,,int
PLC_PLC_Q101.Max_ana_out_ty141,,int
PLC_PLC_Q101.Max_ana_out_ty142,,int
PLC_PLC_Q101.Max_ana_portata1,,int
PLC_PLC_Q101.Max_ana_portata2,,int
PLC_PLC_Q101.Max_ana_pos_ty141,,int
PLC_PLC_Q101.Max_ana_pos_ty142,,int
PLC_PLC_Q101.Max_portata,m3/h (x10),int
PLC_PLC_Q101.Max_t_mandata,°C (x10),int
PLC_PLC_Q101.Max_t_ritorno,°C (x10),int
PLC_PLC_Q101.Max_visi_portata2,,int
PLC_PLC_Q101.Max_visu_portata1,,int
PLC_PLC_Q101.Min_ana_out_ty141,,int
PLC_PLC_Q101.Min_ana_out_ty142,,int
PLC_PLC_Q101.Min_ana_portata1,,int
PLC_PLC_Q101.Min_ana_portata2,,int
PLC_PLC_Q101.Min_ana_pos_ty141,,int
PLC_PLC_Q101.Min_ana_pos_ty142,,int
PLC_PLC_Q101.Min_lavoro_p101,minutes,int
PLC_PLC_Q101.Min_lavoro_p102,minutes,int
PLC_PLC_Q101.Min_lavoro_p103,minutes,int
PLC_PLC_Q101.Min_lavoro_p104,minutes,int
