Metric,Unit,Value type
cluster_cpu_util,_,int
cluster_memory_util,_,int
job_id,_,int
num_nodes,_,int
s21.cluster_cpu_util,_,float
s21.cluster_gpu_util,_,float
s21.cluster_mem_util,_,float
s21.jobs.avg_waiting_hour,_,float
s21.jobs.eligible,_,int
s21.jobs.eligible_v2,_,int
s21.jobs.nodes_eligible,_,int
s21.jobs.nodes_eligible_v2,_,int
s21.jobs.p95_waiting_hour,_,float
s21.jobs.tot_gpus,_,int
s21.jobs.tot_jobs,_,int
s21.jobs.tot_node_hour,_,float
s21.jobs.tot_nodes,_,int
s21.totals.cpus_alloc,_,int
s21.totals.cpus_config,_,int
s21.totals.cpus_down,_,int
s21.totals.cpus_eligible,_,int
s21.totals.cpus_idle,_,int
s21.totals.gpus_alloc,_,int
s21.totals.gpus_config,_,int
s21.totals.gpus_down,_,int
s21.totals.gpus_eligible,_,int
s21.totals.gpus_idle,_,int
s21.totals.memory_alloc,_,int
s21.totals.memory_config,_,int
s21.totals.memory_down,_,int
s21.totals.memory_eligible,_,int
s21.totals.memory_idle,_,int
s21.totals.total_nodes_alloc,_,int
s21.totals.total_nodes_config,_,int
s21.totals.total_nodes_down,_,int
s21.totals.total_nodes_eligible,_,int
s21.totals.total_nodes_idle,_,int
s21.totals.total_nodes_mixed,_,int
total_cpus_alloc,_,int
total_cpus_config,_,int
total_cpus_down,_,int
total_cpus_eligible,_,int
total_cpus_idle,_,int
total_memory_alloc,_,int
total_memory_config,_,int
total_memory_down,_,int
total_memory_eligible,_,int
total_memory_idle,_,int
total_nodes_alloc,_,int
total_nodes_config,_,int
total_nodes_down,_,int
total_nodes_eligible,_,int
total_nodes_idle,_,int
total_nodes_mixed,_,int
